Date,Player,EloRanking,Image
2018-Jan,Carlsen,2843,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Feb,Carlsen,2843,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Mar,Carlsen,2843,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Apr,Carlsen,2843,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-May,Carlsen,2843,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Jun,Carlsen,2843,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Jul,Carlsen,2842,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Aug,Carlsen,2842,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Sep,Carlsen,2839,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Oct,Carlsen,2839,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Nov,Carlsen,2835,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Dec,Carlsen,2835,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Jan,Carlsen,2835,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Feb,Carlsen,2845,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Mar,Carlsen,2845,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Apr,Carlsen,2845,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-May,Carlsen,2861,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Jun,Carlsen,2875,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Jul,Carlsen,2872,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Aug,Carlsen,2882,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Sep,Carlsen,2876,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Oct,Carlsen,2876,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Nov,Carlsen,2870,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2019-Dec,Carlsen,2872,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Carlsen.jpg
2018-Jan,Caruana,2811,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Caruana.jpg
2018-Feb,Caruana,2784,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Caruana.jpg
2018-Mar,Caruana,2784,https://raw.githubusercontent.com/PesceJonathan/PowerBI-HorseRace/master/imagesForDemo/Caruana.jpg
